time_s,dff_percent
0.000,0.89
0.100,0.89
0.200,0.89
0.300,0.89
0.400,0.89
0.500,0.89
0.600,0.89
0.700,0.89
0.800,0.89
0.900,0.89
1.000,0.89
1.100,0.89
1.200,0.00
1.300,-0.89
1.400,-0.89
1.500,-0.89
1.600,-0.89
1.700,0.00
1.800,0.89
1.900,0.89
2.000,0.00
2.100,-0.89
2.200,-0.89
2.300,-0.89
2.400,-1.79
2.500,-0.89
2.600,0.00
2.700,-0.89
2.800,0.00
2.900,1.79
3.000,5.36
3.100,6.25
3.200,8.04
3.300,8.04
3.400,6.25
3.500,5.36
3.600,4.46
3.700,3.57
3.800,2.68
3.900,2.68
4.000,2.68
4.100,1.79
4.200,0.89
4.300,0.89
4.400,0.00
4.500,-0.89
4.600,0.00
4.700,0.89
4.800,0.00
4.900,0.00
5.000,0.00
5.100,0.00
5.200,0.00
5.300,0.00
5.400,-0.89
5.500,-0.89
5.600,0.00
5.700,0.89
5.800,0.00
5.900,-1.79
6.000,-1.79
6.100,-0.89
6.200,0.00
6.300,0.89
6.400,0.89
6.500,0.89
6.600,-0.89
6.700,-1.79
6.800,-1.79
6.900,-0.89
7.000,-0.89
7.100,-0.89
7.200,-1.79
7.300,-1.79
7.400,-0.89
7.500,-1.79
7.600,-1.79
7.700,-0.89
7.800,-0.89
7.900,-0.89
8.000,0.00
8.100,-0.89
8.200,0.00
8.300,0.00
8.400,0.00
8.500,0.00
8.600,0.00
8.700,0.00
8.800,0.00
8.900,0.00
9.000,0.00
9.100,0.00
9.200,0.00
9.300,0.00
9.400,0.00
