time_s,dff_percent
0.000,0.89
0.100,0.89
0.200,0.89
0.300,0.89
0.400,0.89
0.500,0.89
0.600,0.89
0.700,0.89
0.800,0.89
0.900,0.89
1.000,0.89
1.100,0.89
1.200,0.89
1.300,0.00
1.400,-0.89
1.500,-0.89
1.600,0.89
1.700,0.89
1.800,0.89
1.900,0.00
2.000,0.00
2.100,0.89
2.200,0.00
2.300,-0.89
2.400,0.00
2.500,0.00
2.600,0.00
2.700,-0.89
2.800,-0.89
2.900,-0.89
3.000,-0.89
3.100,-0.89
3.200,-0.89
3.300,-0.89
3.400,0.00
3.500,0.89
3.600,1.79
3.700,3.57
3.800,4.46
3.900,3.57
4.000,2.68
4.100,2.68
4.200,1.79
4.300,1.79
4.400,1.79
4.500,0.00
4.600,-0.89
4.700,0.00
4.800,0.00
4.900,0.00
5.000,0.00
5.100,0.89
5.200,0.89
5.300,0.00
5.400,-0.89
5.500,-0.89
5.600,-0.89
5.700,-0.89
5.800,-0.89
5.900,-0.89
6.000,-0.89
6.100,-0.89
6.200,-0.89
6.300,-0.89
6.400,-0.89
6.500,-0.89
6.600,-0.89
6.700,0.00
6.800,0.89
6.900,0.00
7.000,-0.89
7.100,0.00
7.200,-0.89
7.300,-1.79
7.400,-0.89
7.500,-0.89
7.600,-0.89
7.700,-0.89
7.800,-0.89
7.900,-0.89
8.000,0.00
8.100,0.89
8.200,0.00
8.300,-0.89
8.400,-1.79
8.500,-1.79
8.600,0.00
8.700,0.00
8.800,0.00
8.900,0.00
9.000,0.00
9.100,0.00
9.200,0.00
9.300,0.00
9.400,0.00
