cell_type,direction,contrast,component,position,delay_ms,time_ms,vm_mv
T4,PD,PC,position,-4.000000,80.000000,-200.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,-195.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,-190.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,-185.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,-180.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,-175.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,-170.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,-165.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,-160.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,-155.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,-150.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,-145.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,-140.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,-135.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,-130.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,-125.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,-120.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,-115.000000,-0.039062
T4,PD,PC,position,-4.000000,80.000000,-110.000000,-0.390625
T4,PD,PC,position,-4.000000,80.000000,-105.000000,-0.416667
T4,PD,PC,position,-4.000000,80.000000,-100.000000,-0.445602
T4,PD,PC,position,-4.000000,80.000000,-95.000000,-0.462963
T4,PD,PC,position,-4.000000,80.000000,-90.000000,-0.462963
T4,PD,PC,position,-4.000000,80.000000,-85.000000,-0.470197
T4,PD,PC,position,-4.000000,80.000000,-80.000000,-0.509259
T4,PD,PC,position,-4.000000,80.000000,-75.000000,-0.509259
T4,PD,PC,position,-4.000000,80.000000,-70.000000,-0.334201
T4,PD,PC,position,-4.000000,80.000000,-65.000000,-0.119358
T4,PD,PC,position,-4.000000,80.000000,-60.000000,0.017361
T4,PD,PC,position,-4.000000,80.000000,-55.000000,0.066551
T4,PD,PC,position,-4.000000,80.000000,-50.000000,0.133102
T4,PD,PC,position,-4.000000,80.000000,-45.000000,0.054977
T4,PD,PC,position,-4.000000,80.000000,-40.000000,0.046296
T4,PD,PC,position,-4.000000,80.000000,-35.000000,0.046296
T4,PD,PC,position,-4.000000,80.000000,-30.000000,0.026042
T4,PD,PC,position,-4.000000,80.000000,-25.000000,-0.013021
T4,PD,PC,position,-4.000000,80.000000,-20.000000,-0.057870
T4,PD,PC,position,-4.000000,80.000000,-15.000000,-0.135995
T4,PD,PC,position,-4.000000,80.000000,-10.000000,-0.138889
T4,PD,PC,position,-4.000000,80.000000,-5.000000,-0.138889
T4,PD,PC,position,-4.000000,80.000000,0.000000,0.162037
T4,PD,PC,position,-4.000000,80.000000,5.000000,0.478877
T4,PD,PC,position,-4.000000,80.000000,10.000000,0.517940
T4,PD,PC,position,-4.000000,80.000000,15.000000,0.555556
T4,PD,PC,position,-4.000000,80.000000,20.000000,0.555556
T4,PD,PC,position,-4.000000,80.000000,25.000000,0.588831
T4,PD,PC,position,-4.000000,80.000000,30.000000,0.601852
T4,PD,PC,position,-4.000000,80.000000,35.000000,0.601852
T4,PD,PC,position,-4.000000,80.000000,40.000000,0.590278
T4,PD,PC,position,-4.000000,80.000000,45.000000,0.555556
T4,PD,PC,position,-4.000000,80.000000,50.000000,0.555556
T4,PD,PC,position,-4.000000,80.000000,55.000000,0.555556
T4,PD,PC,position,-4.000000,80.000000,60.000000,0.497685
T4,PD,PC,position,-4.000000,80.000000,65.000000,0.452112
T4,PD,PC,position,-4.000000,80.000000,70.000000,0.439815
T4,PD,PC,position,-4.000000,80.000000,75.000000,0.436198
T4,PD,PC,position,-4.000000,80.000000,80.000000,0.416667
T4,PD,PC,position,-4.000000,80.000000,85.000000,0.397135
T4,PD,PC,position,-4.000000,80.000000,90.000000,0.393519
T4,PD,PC,position,-4.000000,80.000000,95.000000,0.381221
T4,PD,PC,position,-4.000000,80.000000,100.000000,0.387731
T4,PD,PC,position,-4.000000,80.000000,105.000000,0.406539
T4,PD,PC,position,-4.000000,80.000000,110.000000,0.373264
T4,PD,PC,position,-4.000000,80.000000,115.000000,0.412326
T4,PD,PC,position,-4.000000,80.000000,120.000000,0.625000
T4,PD,PC,position,-4.000000,80.000000,125.000000,0.859375
T4,PD,PC,position,-4.000000,80.000000,130.000000,1.154514
T4,PD,PC,position,-4.000000,80.000000,135.000000,1.506076
T4,PD,PC,position,-4.000000,80.000000,140.000000,1.846065
T4,PD,PC,position,-4.000000,80.000000,145.000000,2.119502
T4,PD,PC,position,-4.000000,80.000000,150.000000,2.392940
T4,PD,PC,position,-4.000000,80.000000,155.000000,2.575231
T4,PD,PC,position,-4.000000,80.000000,160.000000,2.731481
T4,PD,PC,position,-4.000000,80.000000,165.000000,2.919560
T4,PD,PC,position,-4.000000,80.000000,170.000000,3.162616
T4,PD,PC,position,-4.000000,80.000000,175.000000,3.436053
T4,PD,PC,position,-4.000000,80.000000,180.000000,3.709491
T4,PD,PC,position,-4.000000,80.000000,185.000000,3.982928
T4,PD,PC,position,-4.000000,80.000000,190.000000,4.256366
T4,PD,PC,position,-4.000000,80.000000,195.000000,4.510995
T4,PD,PC,position,-4.000000,80.000000,200.000000,4.756944
T4,PD,PC,position,-4.000000,80.000000,205.000000,5.026042
T4,PD,PC,position,-4.000000,80.000000,210.000000,5.260417
T4,PD,PC,position,-4.000000,80.000000,215.000000,5.530961
T4,PD,PC,position,-4.000000,80.000000,220.000000,5.775463
T4,PD,PC,position,-4.000000,80.000000,225.000000,5.988137
T4,PD,PC,position,-4.000000,80.000000,230.000000,6.183449
T4,PD,PC,position,-4.000000,80.000000,235.000000,6.364294
T4,PD,PC,position,-4.000000,80.000000,240.000000,6.481481
T4,PD,PC,position,-4.000000,80.000000,245.000000,6.637731
T4,PD,PC,position,-4.000000,80.000000,250.000000,6.762153
T4,PD,PC,position,-4.000000,80.000000,255.000000,6.903935
T4,PD,PC,position,-4.000000,80.000000,260.000000,7.042824
T4,PD,PC,position,-4.000000,80.000000,265.000000,7.129630
T4,PD,PC,position,-4.000000,80.000000,270.000000,7.129630
T4,PD,PC,position,-4.000000,80.000000,275.000000,7.129630
T4,PD,PC,position,-4.000000,80.000000,280.000000,6.921296
T4,PD,PC,position,-4.000000,80.000000,285.000000,6.659433
T4,PD,PC,position,-4.000000,80.000000,290.000000,6.345486
T4,PD,PC,position,-4.000000,80.000000,295.000000,5.993924
T4,PD,PC,position,-4.000000,80.000000,300.000000,5.630787
T4,PD,PC,position,-4.000000,80.000000,305.000000,5.201100
T4,PD,PC,position,-4.000000,80.000000,310.000000,4.884259
T4,PD,PC,position,-4.000000,80.000000,315.000000,4.602141
T4,PD,PC,position,-4.000000,80.000000,320.000000,4.305556
T4,PD,PC,position,-4.000000,80.000000,325.000000,4.040799
T4,PD,PC,position,-4.000000,80.000000,330.000000,3.845486
T4,PD,PC,position,-4.000000,80.000000,335.000000,3.650174
T4,PD,PC,position,-4.000000,80.000000,340.000000,3.454861
T4,PD,PC,position,-4.000000,80.000000,345.000000,3.259549
T4,PD,PC,position,-4.000000,80.000000,350.000000,3.090278
T4,PD,PC,position,-4.000000,80.000000,355.000000,2.896412
T4,PD,PC,position,-4.000000,80.000000,360.000000,2.696759
T4,PD,PC,position,-4.000000,80.000000,365.000000,2.579572
T4,PD,PC,position,-4.000000,80.000000,370.000000,2.462384
T4,PD,PC,position,-4.000000,80.000000,375.000000,2.309028
T4,PD,PC,position,-4.000000,80.000000,380.000000,2.181713
T4,PD,PC,position,-4.000000,80.000000,385.000000,2.064525
T4,PD,PC,position,-4.000000,80.000000,390.000000,1.947338
T4,PD,PC,position,-4.000000,80.000000,395.000000,1.837384
T4,PD,PC,position,-4.000000,80.000000,400.000000,1.759259
T4,PD,PC,position,-4.000000,80.000000,405.000000,1.642072
T4,PD,PC,position,-4.000000,80.000000,410.000000,1.556713
T4,PD,PC,position,-4.000000,80.000000,415.000000,1.453993
T4,PD,PC,position,-4.000000,80.000000,420.000000,1.371528
T4,PD,PC,position,-4.000000,80.000000,425.000000,1.322338
T4,PD,PC,position,-4.000000,80.000000,430.000000,1.247106
T4,PD,PC,position,-4.000000,80.000000,435.000000,1.208044
T4,PD,PC,position,-4.000000,80.000000,440.000000,1.134259
T4,PD,PC,position,-4.000000,80.000000,445.000000,1.056134
T4,PD,PC,position,-4.000000,80.000000,450.000000,0.978009
T4,PD,PC,position,-4.000000,80.000000,455.000000,0.899884
T4,PD,PC,position,-4.000000,80.000000,460.000000,0.821759
T4,PD,PC,position,-4.000000,80.000000,465.000000,0.743634
T4,PD,PC,position,-4.000000,80.000000,470.000000,0.665509
T4,PD,PC,position,-4.000000,80.000000,475.000000,0.648148
T4,PD,PC,position,-4.000000,80.000000,480.000000,0.578704
T4,PD,PC,position,-4.000000,80.000000,485.000000,0.493345
T4,PD,PC,position,-4.000000,80.000000,490.000000,0.454282
T4,PD,PC,position,-4.000000,80.000000,495.000000,0.415220
T4,PD,PC,position,-4.000000,80.000000,500.000000,0.376157
T4,PD,PC,position,-4.000000,80.000000,505.000000,0.337095
T4,PD,PC,position,-4.000000,80.000000,510.000000,0.324074
T4,PD,PC,position,-4.000000,80.000000,515.000000,0.324074
T4,PD,PC,position,-4.000000,80.000000,520.000000,0.335648
T4,PD,PC,position,-4.000000,80.000000,525.000000,0.366030
T4,PD,PC,position,-4.000000,80.000000,530.000000,0.326968
T4,PD,PC,position,-4.000000,80.000000,535.000000,0.287905
T4,PD,PC,position,-4.000000,80.000000,540.000000,0.277778
T4,PD,PC,position,-4.000000,80.000000,545.000000,0.277778
T4,PD,PC,position,-4.000000,80.000000,550.000000,0.277778
T4,PD,PC,position,-4.000000,80.000000,555.000000,0.277778
T4,PD,PC,position,-4.000000,80.000000,560.000000,0.277778
T4,PD,PC,position,-4.000000,80.000000,565.000000,0.277778
T4,PD,PC,position,-4.000000,80.000000,570.000000,0.203511
T4,PD,PC,position,-4.000000,80.000000,575.000000,0.112365
T4,PD,PC,position,-4.000000,80.000000,580.000000,0.038580
T4,PD,PC,position,-4.000000,80.000000,585.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,590.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,595.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,600.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,605.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,610.000000,-0.020255
T4,PD,PC,position,-4.000000,80.000000,615.000000,-0.072338
T4,PD,PC,position,-4.000000,80.000000,620.000000,-0.138889
T4,PD,PC,position,-4.000000,80.000000,625.000000,-0.138889
T4,PD,PC,position,-4.000000,80.000000,630.000000,-0.138889
T4,PD,PC,position,-4.000000,80.000000,635.000000,-0.138889
T4,PD,PC,position,-4.000000,80.000000,640.000000,-0.138889
T4,PD,PC,position,-4.000000,80.000000,645.000000,-0.138889
T4,PD,PC,position,-4.000000,80.000000,650.000000,-0.138889
T4,PD,PC,position,-4.000000,80.000000,655.000000,-0.140336
T4,PD,PC,position,-4.000000,80.000000,660.000000,-0.179398
T4,PD,PC,position,-4.000000,80.000000,665.000000,-0.185185
T4,PD,PC,position,-4.000000,80.000000,670.000000,-0.185185
T4,PD,PC,position,-4.000000,80.000000,675.000000,-0.166377
T4,PD,PC,position,-4.000000,80.000000,680.000000,-0.150463
T4,PD,PC,position,-4.000000,80.000000,685.000000,-0.185185
T4,PD,PC,position,-4.000000,80.000000,690.000000,-0.185185
T4,PD,PC,position,-4.000000,80.000000,695.000000,-0.221354
T4,PD,PC,position,-4.000000,80.000000,700.000000,-0.231481
T4,PD,PC,position,-4.000000,80.000000,705.000000,-0.231481
T4,PD,PC,position,-4.000000,80.000000,710.000000,-0.260417
T4,PD,PC,position,-4.000000,80.000000,715.000000,-0.331308
T4,PD,PC,position,-4.000000,80.000000,720.000000,-0.370370
T4,PD,PC,position,-4.000000,80.000000,725.000000,-0.409433
T4,PD,PC,position,-4.000000,80.000000,730.000000,-0.416667
T4,PD,PC,position,-4.000000,80.000000,735.000000,-0.441262
T4,PD,PC,position,-4.000000,80.000000,740.000000,-0.480324
T4,PD,PC,position,-4.000000,80.000000,745.000000,-0.509259
T4,PD,PC,position,-4.000000,80.000000,750.000000,-0.489005
T4,PD,PC,position,-4.000000,80.000000,755.000000,-0.215567
T4,PD,PC,position,-4.000000,80.000000,760.000000,-0.185185
T4,PD,PC,position,-4.000000,80.000000,765.000000,-0.212674
T4,PD,PC,position,-4.000000,80.000000,770.000000,-0.474537
T4,PD,PC,position,-4.000000,80.000000,775.000000,-0.787037
T4,PD,PC,position,-4.000000,80.000000,780.000000,-0.781250
T4,PD,PC,position,-4.000000,80.000000,785.000000,-0.742187
T4,PD,PC,position,-4.000000,80.000000,790.000000,-0.740741
T4,PD,PC,position,-4.000000,80.000000,795.000000,-0.679977
T4,PD,PC,position,-4.000000,80.000000,800.000000,-0.625000
T4,PD,PC,position,-4.000000,80.000000,805.000000,-0.601852
T4,PD,PC,position,-4.000000,80.000000,810.000000,-0.584491
T4,PD,PC,position,-4.000000,80.000000,815.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,820.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,825.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,830.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,835.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,840.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,845.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,850.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,855.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,860.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,865.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,870.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,875.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,880.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,885.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,890.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,895.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,900.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,905.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,910.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,915.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,920.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,925.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,930.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,935.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,940.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,945.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,950.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,955.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,960.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,965.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,970.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,975.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,980.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,985.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,990.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,995.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1000.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1005.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1010.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1015.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1020.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1025.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1030.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1035.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1040.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1045.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1050.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1055.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1060.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1065.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1070.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1075.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1080.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1085.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1090.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1095.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1100.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1105.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1110.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1115.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1120.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1125.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1130.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1135.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1140.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1145.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1150.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1155.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1160.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1165.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1170.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1175.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1180.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1185.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1190.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1195.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1200.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1205.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1210.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1215.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1220.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1225.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1230.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1235.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1240.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1245.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1250.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1255.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1260.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1265.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1270.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1275.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1280.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1285.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1290.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1295.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1300.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1305.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1310.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1315.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1320.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1325.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1330.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1335.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1340.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1345.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1350.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1355.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1360.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1365.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1370.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1375.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1380.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1385.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1390.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1395.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1400.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1405.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1410.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1415.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1420.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1425.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1430.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1435.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1440.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1445.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1450.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1455.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1460.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1465.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1470.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1475.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1480.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1485.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1490.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1495.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1500.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1505.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1510.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1515.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1520.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1525.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1530.000000,0.000000
T4,PD,PC,position,-4.000000,80.000000,1535.000000,0.000000
